Ceremony Year	Film	Director	Director Birth Year	Awards Won	Review
1999	Gods and Monsters	Bill Condon	1955	1	No concerns
1999	Life Is Beautiful	Roberto Benigni	1952	3	No concerns
1999	Saving Private Ryan	Steven Spielberg	1946	5	No concerns
1999	Shakespeare in Love	John Madden	1949	7	No concerns
1999	What Dreams May Come	Vincent Ward	1956	1	No concerns
2000	All About My Mother	Pedro Almodóvar	1949	1	No concerns
2000	My Mother Dreams the Satan's Disciples in New York	Barbara Schock	1955	1	No concerns
2000	Sleepy Hollow	Tim Burton	1958	1	No concerns
2000	The Cider House Rules	Lasse Hallström	1946	2	No concerns
2000	The Old Man and the Sea	Aleksandr Petrov	1957	1	No concerns
2000	Topsy-Turvy	Mike Leigh	1943	2	No concerns
2001	Almost Famous	Cameron Crowe	1957	1	No concerns
2001	Crouching Tiger, Hidden Dragon	Ang Lee	1954	4	No concerns
2001	Dr. Seuss' How the Grinch Stole Christmas	Ron Howard	1954	1	No concerns
2001	Father and Daughter	Michaël Dudok de Wit	1953	1	No concerns
2001	Gladiator	Ridley Scott	1937	5	No concerns
2001	Into the Arms of Strangers: Stories of the Kindertransport	Mark Jonathan Harris	1941	1	No concerns
2001	Pollock	Ed Harris	1950	1	No concerns
2002	A Beautiful Mind	Ron Howard	1954	4	No concerns
2002	Black Hawk Down	Ridley Scott	1937	2	No concerns
2002	Gosford Park	Robert Altman	1925	1	No concerns
2002	Iris	Richard Eyre	1943	1	No concerns
2002	Monsters, Inc.	David Silverman	1957	1	No concerns
2002	The Accountant	Ray McKinnon	1957	1	No concerns
2002	Thoth	Sarah Kernochan	1947	1	No concerns
2003	Bowling for Columbine	Michael Moore	1954	1	No concerns
2003	Frida	Julie Taymor	1952	2	No concerns
2003	Spirited Away	Hayao Miyazaki	1941	1	No concerns
2003	Talk to Her	Pedro Almodóvar	1949	1	No concerns
2003	The Pianist	Roman Polanski	1933	3	No concerns
2003	Twin Towers	Bill Guttentag	1958	1	No concerns
2004	Cold Mountain	Anthony Minghella	1954	1	No concerns
2004	Master and Commander: The Far Side of the World	Peter Weir	1944	1	No concerns
2004	Mystic River	Clint Eastwood	1930	2	No concerns
2004	The Barbarian Invasions	Denys Arcand	1941	1	No concerns
2004	The Fog of War	Errol Morris	1948	1	No concerns
2005	Mighty Times: The Children's March	Robert Houston	1955	1	No concerns
2005	Million Dollar Baby	Clint Eastwood	1930	4	No concerns
2005	Ray	Taylor Hackford	1944	2	No concerns
2005	Spider-Man 2	Sam Raimi	1959	1	No concerns
2005	The Aviator	Martin Scorsese	1942	5	No concerns
2005	The Incredibles	Brad Bird	1957	2	No concerns
2005	The Motorcycle Diaries	Walter Salles	1956	1	No concerns
2006	Brokeback Mountain	Ang Lee	1954	3	No concerns
2006	Crash	Paul Haggis	1953	3	No concerns
2006	The Constant Gardener	Fernando Meirelles	1955	1	No concerns
2006	The Moon and the Son: An Imagined Conversation	John Canemaker	1943	1	No concerns
2006	Wallace & Gromit: The Curse of the Were-Rabbit	Nick Park	1958	1	No concerns
2007	Dreamgirls	Bill Condon	1955	2	No concerns
2007	Happy Feet	George Miller	1945	1	No concerns
2007	Letters from Iwo Jima	Clint Eastwood	1930	1	No concerns
2007	Little Miss Sunshine	Jonathan Dayton; Valerie Faris	1957; 1958	2	Multi-director row; both directors and birth years parse cleanly, all < 1960.
2007	The Danish Poet	Torill Kove	1958	1	No concerns
2007	The Departed	Martin Scorsese	1942	4	No concerns
2007	The Queen	Stephen Frears	1941	1	No concerns
2008	Elizabeth: The Golden Age	Shekhar Kapur	1945	1	No concerns
2008	Michael Clayton	Tony Gilroy	1956	1	No concerns
2008	No Country for Old Men	Ethan Coen; Joel Coen	1957; 1954	4	Multi-director row; both directors and birth years parse cleanly, all < 1960.
2008	Ratatouille	Brad Bird	1957	1	No concerns
2008	Sweeney Todd: The Demon Barber of Fleet Street	Tim Burton	1958	1	No concerns
2008	Taxi to the Dark Side	Alex Gibney	1953	1	No concerns
2008	The Bourne Ultimatum	Paul Greengrass	1955	3	No concerns
2009	Departures	Yōjirō Takita	1955	1	No concerns
2009	Milk	Gus Van Sant	1952	2	No concerns
2009	Slumdog Millionaire	Danny Boyle; Loveleen Tandan	1956; 1940	7	Multi-director row; both directors and birth years parse cleanly, all < 1960.
2009	Vicky Cristina Barcelona	Woody Allen	1935	1	No concerns
2010	Avatar	James Cameron	1954	3	No concerns
2010	Precious	Lee Daniels	1959	2	No concerns
2010	The Blind Side	John Lee Hancock	1956	1	No concerns
2010	The Cove	Louie Psihoyos	1957	1	No concerns
2010	The Hurt Locker	Kathryn Bigelow	1951	6	No concerns
2010	The Secret in Their Eyes	Juan J. Campanella	1959	1	No concerns
2011	Alice in Wonderland	Tim Burton	1958	2	No concerns
2011	Inside Job	Charles Ferguson	1955	1	No concerns
2011	Strangers No More	Karen Goodman; Kirk Simon	1950; 1954	1	Multi-director row; both directors and birth years parse cleanly, all < 1960.
2011	The Fighter	David O. Russell	1958	2	No concerns
2011	The Wolfman	Joe Johnston	1950	1	No concerns
2012	Hugo	Martin Scorsese	1942	5	No concerns
2012	Midnight in Paris	Woody Allen	1935	1	No concerns
2012	Saving Face	Daniel Junge	1950	1	No concerns
2012	The Fantastic Flying Books of Mr. Morris Lessmore	William Joyce	1957	1	No concerns
2012	The Iron Lady	Phyllida Lloyd	1957	2	No concerns
2012	The Shore	Terry George	1952	1	No concerns
2012	Undefeated	Daniel Lindsay	1950	1	No concerns
2013	Amour	Michael Haneke	1942	1	No concerns
2013	Life of Pi	Ang Lee	1954	4	No concerns
2013	Lincoln	Steven Spielberg	1946	2	No concerns
2013	Silver Linings Playbook	David O. Russell	1958	1	No concerns
2013	Zero Dark Thirty	Kathryn Bigelow	1951	1	No concerns
2014	Blue Jasmine	Woody Allen	1935	1	No concerns
2015	American Sniper	Clint Eastwood	1930	1	No concerns
2015	Ida	Paweł Pawlikowski	1957	1	No concerns
2015	Still Alice	Richard Glatzer	1952	1	No concerns
2016	Bridge of Spies	Steven Spielberg	1946	1	No concerns
2016	Inside Out	Ronnie del Carmen	1959	1	No concerns
2016	Mad Max: Fury Road	George Miller	1945	6	No concerns
2017	Fences	Q42101	1954	1	Director shows unresolved Wikidata ID Q42101 (= Denzel Washington, b.1954); facts correct but label unresolved.
2017	Hacksaw Ridge	Mel Gibson	1956	2	No concerns
2018	Dear Basketball	Glen Keane	1954	1	No concerns
2018	Heaven Is a Traffic Jam on the 405	Frank Stiefel	1950	1	No concerns
2019	BlacKkKlansman	Spike Lee	1957	1	No concerns
2019	Green Book	Peter Farrelly	1956	3	No concerns
2020	American Factory	Julia Reichert	1946	1	No concerns
2020	Bombshell	Jay Roach	1957	1	No concerns
2020	Learning to Skateboard in a Warzone (If You're a Girl)	John Haptas	1949	1	No concerns
2021	Ma Rainey's Black Bottom	George C. Wolfe	1954	2	No concerns
2022	The Power of the Dog	Jane Campion	1954	1	No concerns
2022	West Side Story	Steven Spielberg	1946	1	No concerns
2023	Avatar: The Way of Water	James Cameron	1954	1	No concerns
2023	Guillermo del Toro's Pinocchio	Mark Gustafson	1959	1	No concerns
2023	Welcome to Chechnya	David France	1959	1	No concerns
2024	The Boy and the Heron	Hayao Miyazaki	1941	1	No concerns
2024	War is Over! Inspired by the Music of John and Yoko	Dave Mullins	1950	1	No concerns
2025	Emilia Pérez	Jacques Audiard	1952	1	Undercount: won 2 Oscars (Best Supporting Actress + Best Original Song), report shows 1; gap originates in Wikidata raw pull.
2025	I'm Still Here	Walter Salles	1956	1	No concerns
2026	Avatar: Fire and Ash	James Cameron	1954	1	No concerns
