Ceremony Year	Film	Award	Director	Director Birth Year
1930	All Quiet on the Western Front	Academy Award for Best Picture	Lewis Milestone	1895
1930	Cedric Gibbons	Academy Award for Best Production Design		
1930	Clyde De Vinna	Academy Award for Best Cinematography		
1930	Coquette	Academy Award for Best Actress	Sam Taylor	1895
1930	Coquette	Academy Award for Best Actress	H. Bruce Humberstone	1901
1930	Disraeli	Academy Award for Best Actor	Alfred Edward Green	1889
1930	Douglas Shearer	Academy Award for Best Sound		
1930	Frances Marion	Academy Award for Best Writing		
1930	Frank Lloyd	Academy Award for Best Director		
1930	George Arliss	Academy Award for Best Actor		
1930	Hanns Kräly	Academy Award for Best Writing		
1930	Herman Rosse	Academy Award for Best Production Design		
1930	In Old Arizona	Academy Award for Best Actor	Raoul Walsh	1887
1930	In Old Arizona	Academy Award for Best Actor	Irving Cummings	1888
1930	Joseph T. Rucker	Academy Award for Best Cinematography		
1930	King of Jazz	Academy Award for Best Production Design	Paul Fejos	1897
1930	King of Jazz	Academy Award for Best Production Design	John Murray Anderson	1886
1930	Lewis Milestone	Academy Award for Best Director		
1930	Mary Pickford	Academy Award for Best Actress		
1930	Norma Shearer	Academy Award for Best Actress		
1930	The Big House	Academy Award for Best Sound	George W. Hill	1895
1930	The Big House	Academy Award for Best Writing	George W. Hill	1895
1930	The Bridge of San Luis Rey	Academy Award for Best Production Design	Charles Brabin	1882
1930	The Bridge of San Luis Rey	Academy Award for Best Production Design	Charles Brabin	1883
1930	The Broadway Melody	Academy Award for Best Picture	Harry Beaumont	1888
1930	The Divine Lady	Academy Award for Best Director	Frank Lloyd	1886
1930	The Divorcee	Academy Award for Best Actress	Robert Z. Leonard	1889
1930	The Patriot	Academy Award for Best Writing	Ernst Lubitsch	1892
1930	Warner Baxter	Academy Award for Best Actor		
1930	White Shadows in the South Seas	Academy Award for Best Cinematography	W. S. Van Dyke	1889
1930	White Shadows in the South Seas	Academy Award for Best Cinematography	Robert J. Flaherty	1884
1930	Willard Van der Veer	Academy Award for Best Cinematography		
1930	With Byrd at the South Pole	Academy Award for Best Cinematography	Julian Johnson	1873
1931	A Free Soul	Academy Award for Best Actor	Clarence Brown	1890
1931	Cimarron	Academy Award for Best Picture	Wesley Ruggles	1889
1931	Cimarron	Academy Award for Best Production Design	Wesley Ruggles	1889
1931	Cimarron	Academy Award for Best Writing, Adapted Screenplay	Wesley Ruggles	1889
1931	Floyd Crosby	Academy Award for Best Cinematography		
1931	Howard Estabrook	Academy Award for Best Writing, Adapted Screenplay		
1931	John Monk Saunders	Academy Award for Best Story		
1931	Lionel Barrymore	Academy Award for Best Actor		
1931	Marie Dressler	Academy Award for Best Actress		
1931	Max Rée	Academy Award for Best Production Design		
1931	Min and Bill	Academy Award for Best Actress	George W. Hill	1895
1931	Norman Taurog	Academy Award for Best Director		
1931	Skippy	Academy Award for Best Director	Norman Taurog	1899
1931	Tabu: A Story of the South Seas	Academy Award for Best Cinematography	F. W. Murnau	1888
1931	The Dawn Patrol	Academy Award for Best Story	Howard Hawks	1896
1932	Bad Girl	Academy Award for Best Director	Frank Borzage	1894
1932	Bad Girl	Academy Award for Best Writing, Adapted Screenplay	Frank Borzage	1894
1932	Dr. Jekyll and Mr. Hyde	Academy Award for Best Actor	Rouben Mamoulian	1897
1932	Edwin J. Burke	Academy Award for Best Writing, Adapted Screenplay		
1932	Flowers and Trees	Academy Award for Best Animated Short Film	Burt Gillett	1891
1932	Frances Marion	Academy Award for Best Story		
1932	Frank Borzage	Academy Award for Best Director		
1932	Fredric March	Academy Award for Best Actor		
1932	Gordon Wiles	Academy Award for Best Production Design		
1932	Grand Hotel	Academy Award for Best Picture	Edmund Goulding	1891
1932	Hal Roach	Academy Award for Best Live Action Short Film, Comedy		
1932	Helen Hayes	Academy Award for Best Actress		
1932	Lee Garmes	Academy Award for Best Cinematography		
1932	Mack Sennett	Academy Award for Best Short Subject, Novelty		
1932	Mickey Mouse	Academy Honorary Award		
1932	Shanghai Express	Academy Award for Best Cinematography	Josef von Sternberg	1894
1932	The Champ	Academy Award for Best Actor	King Vidor	1894
1932	The Champ	Academy Award for Best Story	King Vidor	1894
1932	The Music Box	Academy Award for Best Live Action Short Film, Comedy	James Parrott	1897
1932	The Sin of Madelon Claudet	Academy Award for Best Actress	Edgar Selwyn	1875
1932	Transatlantic	Academy Award for Best Production Design	William K. Howard	1893
1932	Transatlantic	Academy Award for Best Production Design	William K. Howard	1899
1932	Wallace Beery	Academy Award for Best Actor		
1932	Walt Disney	Academy Award for Best Animated Short Film		
1932	Walt Disney	Academy Honorary Award		
1932	Walt Disney	Special Achievement Academy Award		
1932	Wrestling Swordfish	Academy Award for Best Short Subject, Novelty		
1933	Warner Bros. Entertainment	Academy Award for Technical Achievement		
1934	A Farewell to Arms	Academy Award for Best Cinematography	Frank Borzage	1894
1934	A Farewell to Arms	Academy Award for Best Sound	Frank Borzage	1894
1934	Cavalcade	Academy Award for Best Director	Frank Lloyd	1886
1934	Cavalcade	Academy Award for Best Picture	Frank Lloyd	1886
1934	Cavalcade	Academy Award for Best Production Design	Frank Lloyd	1886
1934	Charles Barton	Academy Award for Best Assistant Director		
1934	Charles Dorian	Academy Award for Best Assistant Director		
1934	Charles Lang	Academy Award for Best Cinematography		
1934	Charles Laughton	Academy Award for Best Actor		
1934	Con Conrad and Herb Magidson	Academy Award for Best Original Song		
1934	Dewey Starkey	Academy Award for Best Assistant Director		
1934	Frank Lloyd	Academy Award for Best Director		
1934	Franklin Hansen	Academy Award for Best Sound		
1934	Fred Fox	Academy Award for Best Assistant Director		
1934	Fred Jackman	Academy Scientific and Technical Award		
1934	Gordon Hollingshead	Academy Award for Best Assistant Director		
1934	Joe Rock	Academy Award for Best Short Subject, Novelty		
1934	Katharine Hepburn	Academy Award for Best Actress		
1934	Krakatoa	Academy Award for Best Short Subject, Novelty	Joe Rock	1893
1934	Little Women	Academy Award for Best Writing, Adapted Screenplay	George Cukor	1899
1934	Lou Brock	Academy Award for Best Live Action Short Film, Comedy		
1934	Morning Glory	Academy Award for Best Actress	Lowell Sherman	1885
1934	One Way Passage	Academy Award for Best Story	Tay Garnett	1894
1934	Robert Lord	Academy Award for Best Story		
1934	Sarah Y. Mason	Academy Award for Best Writing, Adapted Screenplay		
1934	Scott Beal	Academy Award for Best Assistant Director		
1934	So This Is Harris!	Academy Award for Best Live Action Short Film, Comedy	Mark Sandrich	1900
1934	The Continental	Academy Award for Best Original Song		
1934	The Gay Divorcee	Academy Award for Best Original Song	Mark Sandrich	1900
1934	The Private Life of Henry VIII	Academy Award for Best Actor	Alexander Korda	1893
1934	Three Little Pigs	Academy Award for Best Animated Short Film	Burt Gillett	1891
1934	Victor Heerman	Academy Award for Best Writing, Adapted Screenplay		
1934	Walt Disney	Academy Award for Best Animated Short Film		
1934	William S. Darling	Academy Award for Best Production Design		
1934	William Tummel	Academy Award for Best Assistant Director		
1935	Arthur Caesar	Academy Award for Best Story		
1935	Cedric Gibbons	Academy Award for Best Production Design		
1935	City of Wax	Academy Award for Best Short Subject, Novelty	Horace Woodard	1904
1935	City of Wax	Academy Award for Best Short Subject, Novelty	Stacy Woodard	1902
1935	Clark Gable	Academy Award for Best Actor		
1935	Claudette Colbert	Academy Award for Best Actress		
1935	Cleopatra	Academy Award for Best Cinematography	Cecil B. DeMille	1881
1935	Con Conrad	Academy Award for Best Original Song		
1935	Conrad A. Nervig	Academy Award for Best Film Editing		
1935	Eskimo	Academy Award for Best Film Editing	W. S. Van Dyke	1889
1935	Frank Capra	Academy Award for Best Director		
1935	Fredric Hope	Academy Award for Best Production Design		
1935	Gold Diggers of 1935	Academy Award for Best Original Song	Busby Berkeley	1895
1935	Gus Kahn	Academy Award for Best Score, Adaptation or Treatment		
1935	Harry Warren and Al Dubin	Academy Award for Best Original Song		
1935	Herb Magidson	Academy Award for Best Original Song		
1935	Horace Woodard	Academy Award for Best Short Subject, Novelty		
1935	It Happened One Night	Academy Award for Best Actor	Frank Capra	1897
1935	It Happened One Night	Academy Award for Best Actress	Frank Capra	1897
1935	It Happened One Night	Academy Award for Best Director	Frank Capra	1897
1935	It Happened One Night	Academy Award for Best Picture	Frank Capra	1897
1935	It Happened One Night	Academy Award for Best Writing, Adapted Screenplay	Frank Capra	1897
1935	John P. Livadary	Academy Award for Best Sound		
1935	John Waters	Academy Award for Best Assistant Director		
1935	Kenneth Macgowan	Academy Award for Best Live Action Short Film, Comedy		
1935	La Cucaracha	Academy Award for Best Live Action Short Film, Comedy	Lloyd Corrigan	1900
1935	Louis Silvers	Academy Award for Best Score, Adaptation or Treatment		
1935	Lullaby of Broadway	Academy Award for Best Original Song		
1935	Manhattan Melodrama	Academy Award for Best Story	W. S. Van Dyke	1889
1935	Manhattan Melodrama	Academy Award for Best Story	George Cukor	1899
1935	One Night of Love	Academy Award for Best Score, Adaptation or Treatment	Victor Schertzinger	1888
1935	One Night of Love	Academy Award for Best Sound	Victor Schertzinger	1888
1935	Robert Riskin	Academy Award for Best Writing, Adapted Screenplay		
1935	Shirley Temple	Academy Juvenile Award		
1935	Stacy Woodard	Academy Award for Best Short Subject, Novelty		
1935	The Continental	Academy Award for Best Original Song		
1935	The Merry Widow	Academy Award for Best Production Design	Ernst Lubitsch	1892
1935	The Tortoise and the Hare	Academy Award for Best Animated Short Film	Wilfred Jackson	1906
1935	Victor Milner	Academy Award for Best Cinematography		
1935	Viva Villa!	Academy Award for Best Assistant Director	John Waters	1893
1935	Viva Villa!	Academy Award for Best Assistant Director	William A. Wellman	1896
1935	Viva Villa!	Academy Award for Best Assistant Director	Jack Conway	1887
1935	Viva Villa!	Academy Award for Best Assistant Director	Howard Hawks	1896
1935	Walt Disney	Academy Award for Best Animated Short Film		
1936	A Midsummer Night's Dream	Academy Award for Best Cinematography	Max Reinhardt	1873
1936	A Midsummer Night's Dream	Academy Award for Best Cinematography	William Dieterle	1893
1936	A Midsummer Night's Dream	Academy Award for Best Film Editing	Max Reinhardt	1873
1936	A Midsummer Night's Dream	Academy Award for Best Film Editing	William Dieterle	1893
1936	Al Dubin	Academy Award for Best Original Song		
1936	Ben Hecht	Academy Award for Best Story		
1936	Bette Davis	Academy Award for Best Actress		
1936	Broadway Melody of 1936	Academy Award for Best Dance Direction	W. S. Van Dyke	1889
1936	Broadway Melody of 1936	Academy Award for Best Dance Direction	Roy Del Ruth	1893
1936	Charles MacArthur	Academy Award for Best Story		
1936	Clem Beauchamp	Academy Award for Best Assistant Director		
1936	D. W. Griffith	Academy Honorary Award		
1936	Dangerous	Academy Award for Best Actress	Alfred Edward Green	1889
1936	Dave Gould	Academy Award for Best Dance Direction		
1936	Douglas Shearer	Academy Award for Best Sound		
1936	Douglas Shearer	Academy Scientific and Technical Award		
1936	Dudley Nichols	Academy Award for Best Writing, Adapted Screenplay		
1936	Folies Bergère de Paris	Academy Award for Best Dance Direction	Roy Del Ruth	1893
1936	Hal Mohr	Academy Award for Best Cinematography		
1936	Harry Warren	Academy Award for Best Original Song		
1936	How to Sleep	Academy Award for Best Live Action Short Film, Comedy	Nick Grinde	1893
1936	Jack Chertok	Academy Award for Best Live Action Short Film, Comedy		
1936	Jerome David Kern and Dorothy Fields	Academy Award for Best Original Song		
1936	John Ford	Academy Award for Best Director		
1936	Lullaby of Broadway	Academy Award for Best Original Song		
1936	Max Steiner	Academy Award for Best Score, Adaptation or Treatment		
1936	Mutiny on the Bounty	Academy Award for Best Picture	Frank Lloyd	1886
1936	Nathan Levinson	Academy Scientific and Technical Award		
1936	Naughty Marietta	Academy Award for Best Sound	W. S. Van Dyke	1889
1936	Naughty Marietta	Academy Award for Best Sound	Robert Z. Leonard	1889
1936	Paul Wing	Academy Award for Best Assistant Director		
1936	Ralph Dawson	Academy Award for Best Film Editing		
1936	Richard Day	Academy Award for Best Production Design		
1936	Swing Time	Academy Award for Best Original Song	George Stevens	1904
1936	The Dark Angel	Academy Award for Best Production Design	Sidney Franklin	1893
1936	The Informer	Academy Award for Best Actor	John Ford	1894
1936	The Informer	Academy Award for Best Director	John Ford	1894
1936	The Informer	Academy Award for Best Score, Adaptation or Treatment	John Ford	1894
1936	The Informer	Academy Award for Best Writing, Adapted Screenplay	John Ford	1894
1936	The Lives of a Bengal Lancer	Academy Award for Best Assistant Director	Henry Hathaway	1898
1936	The Scoundrel	Academy Award for Best Story	Charles MacArthur	1895
1936	The Scoundrel	Academy Award for Best Story	Ben Hecht	1894
1936	The Way You Look Tonight	Academy Award for Best Original Song		
1936	Three Orphan Kittens	Academy Award for Best Animated Short Film	David Hand	1900
1936	Victor McLaglen	Academy Award for Best Actor		
1936	Walt Disney	Academy Award for Best Animated Short Film		
1936	William A. Mueller	Academy Scientific and Technical Award		
1936	Wings Over Everest	Academy Award for Best Short Subject, Novelty	Ivor Montagu	1904
1936	Wings Over Everest	Academy Award for Best Short Subject, Novelty	Geoffrey Barkas	1896
1937	Anthony Adverse	Academy Award for Best Cinematography	Mervyn LeRoy	1900
1937	Anthony Adverse	Academy Award for Best Cinematography	Michael Curtiz	1886
1937	Anthony Adverse	Academy Award for Best Film Editing	Mervyn LeRoy	1900
1937	Anthony Adverse	Academy Award for Best Film Editing	Michael Curtiz	1886
1937	Anthony Adverse	Academy Award for Best Score, Adaptation or Treatment	Mervyn LeRoy	1900
1937	Anthony Adverse	Academy Award for Best Score, Adaptation or Treatment	Michael Curtiz	1886
1937	Anthony Adverse	Academy Award for Best Supporting Actress	Mervyn LeRoy	1900
1937	Anthony Adverse	Academy Award for Best Supporting Actress	Michael Curtiz	1886
1937	Bored of Education	Academy Award for Best Live Action Short Film, One-Reel	Gordon Douglas	1907
1937	Come and Get It	Academy Award for Best Supporting Actor	Richard Rosson	1893
1937	Come and Get It	Academy Award for Best Supporting Actor	William Wyler	1902
1937	Come and Get It	Academy Award for Best Supporting Actor	Howard Hawks	1896
1937	Dodsworth	Academy Award for Best Production Design	William Wyler	1902
1937	Dorothy Fields	Academy Award for Best Original Song		
1937	Douglas Shearer	Academy Award for Best Sound		
1937	Douglas Shearer	Academy Scientific and Technical Award		
1937	Frank Capra	Academy Award for Best Director		
1937	Gale Sondergaard	Academy Award for Best Supporting Actress		
1937	Give Me Liberty	Academy Award for Best Live Action Short Film, Color	B. Reeves Eason	1886
1937	Hal Roach	Academy Award for Best Live Action Short Film, One-Reel		
1937	Jack Sullivan	Academy Award for Best Assistant Director		
1937	Jerome Kern	Academy Award for Best Original Song		
1937	Leo F. Forbstein	Academy Award for Best Score, Adaptation or Treatment		
1937	Luise Rainer	Academy Award for Best Actress		
1937	Mr. Deeds Goes to Town	Academy Award for Best Director	Frank Capra	1897
1937	Museum of Modern Art	Academy Honorary Award		
1937	Paul Muni	Academy Award for Best Actor		
1937	Pierre Collings	Academy Award for Best Story		
1937	Pierre Collings	Academy Award for Best Writing, Adapted Screenplay		
1937	Ralph Dawson	Academy Award for Best Film Editing		
1937	Richard Day	Academy Award for Best Production Design		
1937	San Francisco	Academy Award for Best Sound	W. S. Van Dyke	1889
1937	San Francisco	Academy Award for Best Sound	D. W. Griffith	1875
1937	Seymour Felix	Academy Award for Best Dance Direction		
1937	Sheridan Gibney	Academy Award for Best Story		
1937	Sheridan Gibney	Academy Award for Best Writing, Adapted Screenplay		
1937	The Charge of the Light Brigade	Academy Award for Best Assistant Director	Michael Curtiz	1886
1937	The Country Cousin	Academy Award for Best Animated Short Film	David Hand	1900
1937	The Country Cousin	Academy Award for Best Animated Short Film	Wilfred Jackson	1906
1937	The Great Ziegfeld	Academy Award for Best Actress	Robert Z. Leonard	1889
1937	The Great Ziegfeld	Academy Award for Best Dance Direction	Robert Z. Leonard	1889
1937	The Great Ziegfeld	Academy Award for Best Picture	Robert Z. Leonard	1889
1937	The Public Pays	Academy Award for Best Short Subject, Two-reel	Errol Taggart	1895
1937	The Story of Louis Pasteur	Academy Award for Best Actor	William Dieterle	1893
1937	The Story of Louis Pasteur	Academy Award for Best Story	William Dieterle	1893
1937	The Story of Louis Pasteur	Academy Award for Best Writing, Adapted Screenplay	William Dieterle	1893
1937	The Walt Disney Company	Academy Scientific and Technical Award		
1937	The Way You Look Tonight	Academy Award for Best Original Song		
1937	Tony Gaudio	Academy Award for Best Cinematography		
1937	Walt Disney	Academy Award for Best Animated Short Film		
1937	Walter Brennan	Academy Award for Best Supporting Actor		
1938	A Damsel in Distress	Academy Award for Best Dance Direction	George Stevens	1904
1938	A Star Is Born	Academy Award for Best Story	William A. Wellman	1896
1938	Alice Brady	Academy Award for Best Supporting Actress		
1938	Captains Courageous	Academy Award for Best Actor	Victor Fleming	1889
1938	Charles Previn	Academy Award for Best Score, Adaptation or Treatment		
1938	Darryl F. Zanuck	Irving G. Thalberg Memorial Award		
1938	Douglas Shearer	Academy Scientific and Technical Award		
1938	Farciot Edouart	Academy Scientific and Technical Award		
1938	Farciot Edouart	Scientific and Engineering Award		
1938	Gene Havlick	Academy Award for Best Film Editing		
1938	Gene Milford	Academy Award for Best Film Editing		
1938	Géza Herczeg	Academy Award for Best Writing, Adapted Screenplay		
1938	Harry Owens	Academy Award for Best Original Song		
1938	Harry Warner	Academy Honorary Award		
1938	Heinz Herald	Academy Award for Best Writing, Adapted Screenplay		
1938	Hermes Pan	Academy Award for Best Dance Direction		
1938	In Old Chicago	Academy Award for Best Assistant Director	Henry King	1886
1938	In Old Chicago	Academy Award for Best Assistant Director	Robert D. Webb	1903
1938	In Old Chicago	Academy Award for Best Supporting Actress	Henry King	1886
1938	In Old Chicago	Academy Award for Best Supporting Actress	Robert D. Webb	1903
1938	John Arnold	Academy Scientific and Technical Award		
1938	John P. Livadary	Academy Scientific and Technical Award		
1938	Joseph Schildkraut	Academy Award for Best Supporting Actor		
1938	Karl Freund	Academy Award for Best Cinematography		
1938	Leo McCarey	Academy Award for Best Director		
1938	Lost Horizon	Academy Award for Best Film Editing	Andrew Marton	1904
1938	Lost Horizon	Academy Award for Best Film Editing	Frank Capra	1897
1938	Lost Horizon	Academy Award for Best Production Design	Andrew Marton	1904
1938	Lost Horizon	Academy Award for Best Production Design	Frank Capra	1897
1938	Luise Rainer	Academy Award for Best Actress		
1938	Mickey Rooney	Academy Juvenile Award		
1938	Norman Reilly Raine	Academy Award for Best Writing, Adapted Screenplay		
1938	One Hundred Men and a Girl	Academy Award for Best Score, Adaptation or Treatment	Henry Koster	1905
1938	Penny Wisdom	Academy Award for Best Live Action Short Film, Color	David Miller	1909
1938	Pete Smith	Academy Award for Best Live Action Short Film, Color		
1938	Ralph Rainger and Leo Robin	Academy Award for Best Original Song		
1938	Robert Carson	Academy Award for Best Story		
1938	Robert D. Webb	Academy Award for Best Assistant Director		
1938	Spencer Tracy	Academy Award for Best Actor		
1938	Stephen Goosson	Academy Award for Best Production Design		
1938	Sweet Leilani	Academy Award for Best Original Song		
1938	Sweethearts	Academy Honorary Award	W. S. Van Dyke	1889
1938	Sweethearts	Academy Honorary Award	Robert Z. Leonard	1889
1938	Thanks for the Memory	Academy Award for Best Original Song		
1938	The Awful Truth	Academy Award for Best Director	Leo McCarey	1898
1938	The Big Broadcast of 1938	Academy Award for Best Original Song	Mitchell Leisen	1898
1938	The Good Earth	Academy Award for Best Actress	Sidney Franklin	1893
1938	The Good Earth	Academy Award for Best Actress	Gustav Machatý	1901
1938	The Good Earth	Academy Award for Best Actress	Victor Fleming	1889
1938	The Good Earth	Academy Award for Best Cinematography	Sidney Franklin	1893
1938	The Good Earth	Academy Award for Best Cinematography	Gustav Machatý	1901
1938	The Good Earth	Academy Award for Best Cinematography	Victor Fleming	1889
1938	The Hurricane	Academy Award for Best Sound	Stuart Heisler	1896
1938	The Hurricane	Academy Award for Best Sound	John Ford	1894
1938	The Life of Emile Zola	Academy Award for Best Picture	William Dieterle	1893
1938	The Life of Emile Zola	Academy Award for Best Supporting Actor	William Dieterle	1893
1938	The Life of Emile Zola	Academy Award for Best Writing, Adapted Screenplay	William Dieterle	1893
1938	The Old Mill	Academy Award for Best Animated Short Film	Wilfred Jackson	1906
1938	The Old Mill	Academy Award for Best Animated Short Film	Graham Heid	1909
1938	The Private Life of the Gannets	Academy Award for Best Live Action Short Film, One-Reel	Julian Huxley	1887
1938	Thomas T. Moulton	Academy Award for Best Sound		
1938	Thomas T. Moulton	Academy Scientific and Technical Award		
1938	Torture Money	Academy Award for Best Short Subject, Two-reel	Harold S. Bucquet	1891
1938	Walt Disney	Academy Award for Best Animated Short Film		
1938	William A. Wellman	Academy Award for Best Story		
1939	Alexander's Ragtime Band	Academy Award for Best Score, Adaptation or Treatment	Henry King	1886
1939	Alfred Newman	Academy Award for Best Score, Adaptation or Treatment		
1939	Allen M. Davey	Special Achievement Academy Award		
1939	Bette Davis	Academy Award for Best Actress		
1939	Boys Town	Academy Award for Best Actor	Norman Taurog	1899
1939	Boys Town	Academy Award for Best Story	Norman Taurog	1899
1939	Byron Haskin	Academy Scientific and Technical Award		
1939	Carl Jules Weyl	Academy Award for Best Production Design		
1939	Cecil Arthur Lewis	Academy Award for Best Writing, Adapted Screenplay		
1939	Deanna Durbin	Academy Juvenile Award		
1939	Declaration of Independence	Academy Award for Best Short Subject, Two-reel	Crane Wilbur	1886
1939	Dore Schary	Academy Award for Best Story		
1939	Douglas Fairbanks	Academy Honorary Award		
1939	Eleanore Griffin	Academy Award for Best Story		
1939	Erich Wolfgang Korngold	Academy Award for Best Original Score		
1939	Farciot Edouart	Academy Honorary Award		
1939	Fay Bainter	Academy Award for Best Supporting Actress		
1939	Ferdinand the Bull	Academy Award for Best Animated Short Film	Dick Rickard	
1939	Frank Capra	Academy Award for Best Director		
1939	George Bernard Shaw	Academy Award for Best Writing, Adapted Screenplay		
1939	Gordon Jennings	Academy Honorary Award		
1939	Hal B. Wallis	Irving G. Thalberg Memorial Award		
1939	Harold Arlen and Yip Harburg	Academy Award for Best Original Song		
1939	Harry D. Mills	Special Achievement Academy Award		
1939	Ian Dalrymple	Academy Award for Best Writing, Adapted Screenplay		
1939	Jezebel	Academy Award for Best Actress	William Wyler	1902
1939	Jezebel	Academy Award for Best Supporting Actress	William Wyler	1902
1939	John O. Aalberg	Academy Scientific and Technical Award		
1939	Joseph Ruttenberg	Academy Award for Best Cinematography		
1939	Kentucky	Academy Award for Best Supporting Actor	Otto Brower	1895
1939	Kentucky	Academy Award for Best Supporting Actor	David Butler	1894
1939	Leo Robin	Academy Award for Best Original Song		
1939	Mickey Rooney	Academy Juvenile Award		
1939	Over the Rainbow	Academy Award for Best Original Song		
1939	Pygmalion	Academy Award for Best Writing, Adapted Screenplay	Leslie Howard	1893
1939	Pygmalion	Academy Award for Best Writing, Adapted Screenplay	Anthony Asquith	1902
1939	Q1673037	Special Achievement Academy Award		
1939	Ralph Dawson	Academy Award for Best Film Editing		
1939	Ralph Rainger	Academy Award for Best Original Song		
1939	Snow White and the Seven Dwarfs	Special Achievement Academy Award	Wilfred Jackson	1906
1939	Snow White and the Seven Dwarfs	Special Achievement Academy Award	William Cottrell	1906
1939	Snow White and the Seven Dwarfs	Special Achievement Academy Award	Ben Sharpsteen	1895
1939	Snow White and the Seven Dwarfs	Special Achievement Academy Award	David Hand	1900
1939	Snow White and the Seven Dwarfs	Special Achievement Academy Award	Larry Morey	1905
1939	Snow White and the Seven Dwarfs	Special Achievement Academy Award	Percival C. Pearce	1899
1939	Spawn of the North	Special Achievement Academy Award	Henry Hathaway	1898
1939	Spencer Tracy	Academy Award for Best Actor		
1939	Sweethearts	Special Achievement Academy Award	W. S. Van Dyke	1889
1939	Sweethearts	Special Achievement Academy Award	Robert Z. Leonard	1889
1939	Thanks for the Memory	Academy Award for Best Original Song		
1939	That Mothers Might Live	Academy Award for Best Live Action Short Film, One-Reel	Fred Zinnemann	1907
1939	The Adventures of Robin Hood	Academy Award for Best Film Editing	William Keighley	1889
1939	The Adventures of Robin Hood	Academy Award for Best Film Editing	Michael Curtiz	1886
1939	The Adventures of Robin Hood	Academy Award for Best Original Score	William Keighley	1889
1939	The Adventures of Robin Hood	Academy Award for Best Original Score	Michael Curtiz	1886
1939	The Adventures of Robin Hood	Academy Award for Best Production Design	William Keighley	1889
1939	The Adventures of Robin Hood	Academy Award for Best Production Design	Michael Curtiz	1886
1939	The Cowboy and the Lady	Academy Award for Best Sound	H. C. Potter	1904
1939	The Cowboy and the Lady	Academy Award for Best Sound	Stuart Heisler	1896
1939	The Cowboy and the Lady	Academy Award for Best Sound	William Wyler	1902
1939	The Great Waltz	Academy Award for Best Cinematography	Josef von Sternberg	1894
1939	The Great Waltz	Academy Award for Best Cinematography	Julien Duvivier	1896
1939	The Great Waltz	Academy Award for Best Cinematography	Victor Fleming	1889
1939	The Wizard of Oz	Academy Award for Best Original Song	Victor Fleming	1889
1939	The Wizard of Oz	Academy Award for Best Original Song	King Vidor	1894
1939	Thomas T. Moulton	Academy Award for Best Sound		
1939	W. P. Lipscomb	Academy Award for Best Writing, Adapted Screenplay		
1939	Walt Disney	Academy Award for Best Animated Short Film		
1939	Walt Disney	Special Achievement Academy Award		
1939	Walter Brennan	Academy Award for Best Supporting Actor		
1939	Walter Oberst	Special Achievement Academy Award		
1939	You Can't Take It With You	Academy Award for Best Director	Frank Capra	1897
