Ceremony Year	Film	Award	Director	Director Birth Year
2000	My Mother Dreams the Satan's Disciples in New York	Academy Award for Best Live Action Short Film	Barbara Schock	1955
2000	Sleepy Hollow	Academy Award for Best Production Design	Tim Burton	1958
2000	The Cider House Rules	Academy Award for Best Supporting Actor	Lasse Hallström	1946
2000	The Cider House Rules	Academy Award for Best Writing, Adapted Screenplay	Lasse Hallström	1946
2000	The Old Man and the Sea	Academy Award for Best Animated Short Film	Aleksandr Petrov	1957
2000	Topsy-Turvy	Academy Award for Best Costume Design	Mike Leigh	1943
2000	Topsy-Turvy	Academy Award for Best Makeup and Hairstyling	Mike Leigh	1943
2001	Almost Famous	Academy Award for Best Writing, Original Screenplay	Cameron Crowe	1957
2001	Crouching Tiger, Hidden Dragon	Academy Award for Best Cinematography	Ang Lee	1954
2001	Crouching Tiger, Hidden Dragon	Academy Award for Best International Feature Film	Ang Lee	1954
2001	Crouching Tiger, Hidden Dragon	Academy Award for Best Original Score	Ang Lee	1954
2001	Crouching Tiger, Hidden Dragon	Academy Award for Best Production Design	Ang Lee	1954
2001	Dr. Seuss' How the Grinch Stole Christmas	Academy Award for Best Makeup and Hairstyling	Ron Howard	1954
2001	Father and Daughter	Academy Award for Best Animated Short Film	Michaël Dudok de Wit	1953
2001	Gladiator	Academy Award for Best Actor	Ridley Scott	1937
2001	Gladiator	Academy Award for Best Costume Design	Ridley Scott	1937
2001	Gladiator	Academy Award for Best Picture	Ridley Scott	1937
2001	Gladiator	Academy Award for Best Sound	Ridley Scott	1937
2001	Gladiator	Academy Award for Best Visual Effects	Ridley Scott	1937
2001	Into the Arms of Strangers: Stories of the Kindertransport	Academy Award for Best Documentary Feature Film	Mark Jonathan Harris	1941
2001	Pollock	Academy Award for Best Supporting Actress	Ed Harris	1950
2002	A Beautiful Mind	Academy Award for Best Director	Ron Howard	1954
2002	A Beautiful Mind	Academy Award for Best Picture	Ron Howard	1954
2002	A Beautiful Mind	Academy Award for Best Supporting Actress	Ron Howard	1954
2002	A Beautiful Mind	Academy Award for Best Writing, Adapted Screenplay	Ron Howard	1954
2002	Black Hawk Down	Academy Award for Best Film Editing	Ridley Scott	1937
2002	Black Hawk Down	Academy Award for Best Sound	Ridley Scott	1937
2002	Bowling for Columbine	Academy Award for Best Documentary Feature Film	Michael Moore	1954
2002	Gosford Park	Academy Award for Best Writing, Original Screenplay	Robert Altman	1925
2002	Iris	Academy Award for Best Supporting Actor	Richard Eyre	1943
2002	Monsters, Inc.	Academy Award for Best Original Song	David Silverman	1957
2002	The Accountant	Academy Award for Best Live Action Short Film	Ray McKinnon	1957
2002	Thoth	Academy Award for Best Documentary (Short Subject)	Sarah Kernochan	1947
2003	Bowling for Columbine	Academy Award for Best Documentary Feature Film	Michael Moore	1954
2003	Frida	Academy Award for Best Makeup and Hairstyling	Julie Taymor	1952
2003	Frida	Academy Award for Best Original Score	Julie Taymor	1952
2003	Spirited Away	Academy Award for Best Animated Feature	Hayao Miyazaki	1941
2003	Talk to Her	Academy Award for Best Writing, Original Screenplay	Pedro Almodóvar	1949
2003	The Pianist	Academy Award for Best Actor	Roman Polanski	1933
2003	The Pianist	Academy Award for Best Director	Roman Polanski	1933
2003	The Pianist	Academy Award for Best Writing, Adapted Screenplay	Roman Polanski	1933
2003	Twin Towers	Academy Award for Best Documentary (Short Subject)	Bill Guttentag	1958
2004	Cold Mountain	Academy Award for Best Supporting Actress	Anthony Minghella	1954
2004	Master and Commander: The Far Side of the World	Academy Award for Best Cinematography	Peter Weir	1944
2004	Mystic River	Academy Award for Best Actor	Clint Eastwood	1930
2004	Mystic River	Academy Award for Best Supporting Actor	Clint Eastwood	1930
2004	The Barbarian Invasions	Academy Award for Best International Feature Film	Denys Arcand	1941
2004	The Fog of War	Academy Award for Best Documentary Feature Film	Errol Morris	1948
2005	Mighty Times: The Children's March	Academy Award for Best Documentary (Short Subject)	Robert Houston	1955
2005	Million Dollar Baby	Academy Award for Best Actress	Clint Eastwood	1930
2005	Million Dollar Baby	Academy Award for Best Director	Clint Eastwood	1930
2005	Million Dollar Baby	Academy Award for Best Picture	Clint Eastwood	1930
2005	Million Dollar Baby	Academy Award for Best Supporting Actor	Clint Eastwood	1930
2005	Ray	Academy Award for Best Actor	Taylor Hackford	1944
2005	Ray	Academy Award for Best Sound	Taylor Hackford	1944
2005	Spider-Man 2	Academy Award for Best Visual Effects	Sam Raimi	1959
2005	The Aviator	Academy Award for Best Cinematography	Martin Scorsese	1942
2005	The Aviator	Academy Award for Best Costume Design	Martin Scorsese	1942
2005	The Aviator	Academy Award for Best Film Editing	Martin Scorsese	1942
2005	The Aviator	Academy Award for Best Production Design	Martin Scorsese	1942
2005	The Aviator	Academy Award for Best Supporting Actress	Martin Scorsese	1942
2005	The Incredibles	Academy Award for Best Animated Feature	Brad Bird	1957
2005	The Incredibles	Academy Award for Best Sound Editing	Brad Bird	1957
2005	The Motorcycle Diaries	Academy Award for Best Original Song	Walter Salles	1956
2006	Brokeback Mountain	Academy Award for Best Director	Ang Lee	1954
2006	Brokeback Mountain	Academy Award for Best Original Score	Ang Lee	1954
2006	Brokeback Mountain	Academy Award for Best Writing, Adapted Screenplay	Ang Lee	1954
2006	Crash	Academy Award for Best Film Editing	Paul Haggis	1953
2006	Crash	Academy Award for Best Picture	Paul Haggis	1953
2006	Crash	Academy Award for Best Writing, Original Screenplay	Paul Haggis	1953
2006	The Constant Gardener	Academy Award for Best Supporting Actress	Fernando Meirelles	1955
2006	The Moon and the Son: An Imagined Conversation	Academy Award for Best Animated Short Film	John Canemaker	1943
2006	Wallace & Gromit: The Curse of the Were-Rabbit	Academy Award for Best Animated Feature	Nick Park	1958
2007	Dreamgirls	Academy Award for Best Sound	Bill Condon	1955
2007	Dreamgirls	Academy Award for Best Supporting Actress	Bill Condon	1955
2007	Happy Feet	Academy Award for Best Animated Feature	George Miller	1945
2007	Letters from Iwo Jima	Academy Award for Best Sound Editing	Clint Eastwood	1930
2007	Little Miss Sunshine	Academy Award for Best Supporting Actor	Valerie Faris	1958
2007	Little Miss Sunshine	Academy Award for Best Supporting Actor	Jonathan Dayton	1957
2007	Little Miss Sunshine	Academy Award for Best Writing, Original Screenplay	Valerie Faris	1958
2007	Little Miss Sunshine	Academy Award for Best Writing, Original Screenplay	Jonathan Dayton	1957
2007	The Danish Poet	Academy Award for Best Animated Short Film	Torill Kove	1958
2007	The Departed	Academy Award for Best Director	Martin Scorsese	1942
2007	The Departed	Academy Award for Best Film Editing	Martin Scorsese	1942
2007	The Departed	Academy Award for Best Picture	Martin Scorsese	1942
2007	The Departed	Academy Award for Best Writing, Adapted Screenplay	Martin Scorsese	1942
2007	The Queen	Academy Award for Best Actress	Stephen Frears	1941
2008	Elizabeth: The Golden Age	Academy Award for Best Costume Design	Shekhar Kapur	1945
2008	Michael Clayton	Academy Award for Best Supporting Actress	Tony Gilroy	1956
2008	No Country for Old Men	Academy Award for Best Director	Joel Coen	1954
2008	No Country for Old Men	Academy Award for Best Director	Ethan Coen	1957
2008	No Country for Old Men	Academy Award for Best Picture	Joel Coen	1954
2008	No Country for Old Men	Academy Award for Best Picture	Ethan Coen	1957
2008	No Country for Old Men	Academy Award for Best Supporting Actor	Joel Coen	1954
2008	No Country for Old Men	Academy Award for Best Supporting Actor	Ethan Coen	1957
2008	No Country for Old Men	Academy Award for Best Writing, Adapted Screenplay	Joel Coen	1954
2008	No Country for Old Men	Academy Award for Best Writing, Adapted Screenplay	Ethan Coen	1957
2008	Ratatouille	Academy Award for Best Animated Feature	Brad Bird	1957
2008	Sweeney Todd: The Demon Barber of Fleet Street	Academy Award for Best Production Design	Tim Burton	1958
2008	Taxi to the Dark Side	Academy Award for Best Documentary Feature Film	Alex Gibney	1953
2008	The Bourne Ultimatum	Academy Award for Best Film Editing	Paul Greengrass	1955
2008	The Bourne Ultimatum	Academy Award for Best Sound	Paul Greengrass	1955
2008	The Bourne Ultimatum	Academy Award for Best Sound Editing	Paul Greengrass	1955
2009	Departures	Academy Award for Best International Feature Film	Yōjirō Takita	1955
2009	Milk	Academy Award for Best Actor	Gus Van Sant	1952
2009	Milk	Academy Award for Best Writing, Original Screenplay	Gus Van Sant	1952
2009	Slumdog Millionaire	Academy Award for Best Cinematography	Danny Boyle	1956
2009	Slumdog Millionaire	Academy Award for Best Cinematography	Loveleen Tandan	1940
2009	Slumdog Millionaire	Academy Award for Best Director	Danny Boyle	1956
2009	Slumdog Millionaire	Academy Award for Best Director	Loveleen Tandan	1940
2009	Slumdog Millionaire	Academy Award for Best Film Editing	Danny Boyle	1956
2009	Slumdog Millionaire	Academy Award for Best Film Editing	Loveleen Tandan	1940
2009	Slumdog Millionaire	Academy Award for Best Original Score	Danny Boyle	1956
2009	Slumdog Millionaire	Academy Award for Best Original Score	Loveleen Tandan	1940
2009	Slumdog Millionaire	Academy Award for Best Picture	Danny Boyle	1956
2009	Slumdog Millionaire	Academy Award for Best Picture	Loveleen Tandan	1940
2009	Slumdog Millionaire	Academy Award for Best Sound	Danny Boyle	1956
2009	Slumdog Millionaire	Academy Award for Best Sound	Loveleen Tandan	1940
2009	Slumdog Millionaire	Academy Award for Best Writing, Adapted Screenplay	Danny Boyle	1956
2009	Slumdog Millionaire	Academy Award for Best Writing, Adapted Screenplay	Loveleen Tandan	1940
2009	The Cove	Academy Award for Best Documentary Feature Film	Louie Psihoyos	1957
2009	Vicky Cristina Barcelona	Academy Award for Best Supporting Actress	Woody Allen	1935
2010	Avatar	Academy Award for Best Cinematography	James Cameron	1954
2010	Avatar	Academy Award for Best Production Design	James Cameron	1954
2010	Avatar	Academy Award for Best Visual Effects	James Cameron	1954
2010	Precious	Academy Award for Best Supporting Actress	Lee Daniels	1959
2010	Precious	Academy Award for Best Writing, Adapted Screenplay	Lee Daniels	1959
2010	The Blind Side	Academy Award for Best Actress	John Lee Hancock	1956
2010	The Cove	Academy Award for Best Documentary Feature Film	Louie Psihoyos	1957
2010	The Hurt Locker	Academy Award for Best Director	Kathryn Bigelow	1951
2010	The Hurt Locker	Academy Award for Best Film Editing	Kathryn Bigelow	1951
2010	The Hurt Locker	Academy Award for Best Picture	Kathryn Bigelow	1951
2010	The Hurt Locker	Academy Award for Best Sound	Kathryn Bigelow	1951
2010	The Hurt Locker	Academy Award for Best Sound Editing	Kathryn Bigelow	1951
2010	The Hurt Locker	Academy Award for Best Writing, Original Screenplay	Kathryn Bigelow	1951
2010	The Secret in Their Eyes	Academy Award for Best International Feature Film	Juan J. Campanella	1959
2011	Alice in Wonderland	Academy Award for Best Costume Design	Tim Burton	1958
2011	Alice in Wonderland	Academy Award for Best Production Design	Tim Burton	1958
2011	Inside Job	Academy Award for Best Documentary Feature Film	Charles Ferguson	1955
2011	Strangers No More	Academy Award for Best Documentary (Short Subject)	Karen Goodman	1950
2011	Strangers No More	Academy Award for Best Documentary (Short Subject)	Kirk Simon	1954
2011	The Fighter	Academy Award for Best Supporting Actor	David O. Russell	1958
2011	The Fighter	Academy Award for Best Supporting Actress	David O. Russell	1958
2011	The Wolfman	Academy Award for Best Makeup and Hairstyling	Joe Johnston	1950
2012	Hugo	Academy Award for Best Cinematography	Martin Scorsese	1942
2012	Hugo	Academy Award for Best Production Design	Martin Scorsese	1942
2012	Hugo	Academy Award for Best Sound	Martin Scorsese	1942
2012	Hugo	Academy Award for Best Sound Editing	Martin Scorsese	1942
2012	Hugo	Academy Award for Best Visual Effects	Martin Scorsese	1942
2012	Midnight in Paris	Academy Award for Best Writing, Original Screenplay	Woody Allen	1935
2012	Saving Face	Academy Award for Best Documentary (Short Subject)	Daniel Junge	1950
2012	The Fantastic Flying Books of Mr. Morris Lessmore	Academy Award for Best Animated Short Film	William Joyce	1957
2012	The Iron Lady	Academy Award for Best Actress	Phyllida Lloyd	1957
2012	The Iron Lady	Academy Award for Best Makeup and Hairstyling	Phyllida Lloyd	1957
2012	The Shore	Academy Award for Best Live Action Short Film	Terry George	1952
2012	Undefeated	Academy Award for Best Documentary Feature Film	Daniel Lindsay	1950
2013	Amour	Academy Award for Best International Feature Film	Michael Haneke	1942
2013	Life of Pi	Academy Award for Best Cinematography	Ang Lee	1954
2013	Life of Pi	Academy Award for Best Director	Ang Lee	1954
2013	Life of Pi	Academy Award for Best Original Score	Ang Lee	1954
2013	Life of Pi	Academy Award for Best Visual Effects	Ang Lee	1954
2013	Lincoln	Academy Award for Best Actor	Steven Spielberg	1946
2013	Lincoln	Academy Award for Best Production Design	Steven Spielberg	1946
2013	Silver Linings Playbook	Academy Award for Best Actress	David O. Russell	1958
2013	Zero Dark Thirty	Academy Award for Best Sound Editing	Kathryn Bigelow	1951
2014	Blue Jasmine	Academy Award for Best Actress	Woody Allen	1935
2015	American Sniper	Academy Award for Best Sound Editing	Clint Eastwood	1930
2015	Ida	Academy Award for Best International Feature Film	Paweł Pawlikowski	1957
2015	Still Alice	Academy Award for Best Actress	Richard Glatzer	1952
2016	Bridge of Spies	Academy Award for Best Supporting Actor	Steven Spielberg	1946
2016	Inside Out	Academy Award for Best Animated Feature	Ronnie del Carmen	1959
2016	Mad Max: Fury Road	Academy Award for Best Costume Design	George Miller	1945
2016	Mad Max: Fury Road	Academy Award for Best Film Editing	George Miller	1945
2016	Mad Max: Fury Road	Academy Award for Best Makeup and Hairstyling	George Miller	1945
2016	Mad Max: Fury Road	Academy Award for Best Production Design	George Miller	1945
2016	Mad Max: Fury Road	Academy Award for Best Sound	George Miller	1945
2016	Mad Max: Fury Road	Academy Award for Best Sound Editing	George Miller	1945
2017	Fences	Academy Award for Best Supporting Actress	Q42101	1954
2017	Hacksaw Ridge	Academy Award for Best Film Editing	Mel Gibson	1956
2017	Hacksaw Ridge	Academy Award for Best Sound	Mel Gibson	1956
2018	Dear Basketball	Academy Award for Best Animated Short Film	Glen Keane	1954
2018	Heaven Is a Traffic Jam on the 405	Academy Award for Best Documentary (Short Subject)	Frank Stiefel	1950
2019	BlacKkKlansman	Academy Award for Best Writing, Adapted Screenplay	Spike Lee	1957
2019	Green Book	Academy Award for Best Picture	Peter Farrelly	1956
2019	Green Book	Academy Award for Best Supporting Actor	Peter Farrelly	1956
2019	Green Book	Academy Award for Best Writing, Original Screenplay	Peter Farrelly	1956
2020	American Factory	Academy Award for Best Documentary Feature Film	Julia Reichert	1946
2020	Bombshell	Academy Award for Best Makeup and Hairstyling	Jay Roach	1957
2020	Learning to Skateboard in a Warzone (If You're a Girl)	Academy Award for Best Documentary (Short Subject)	John Haptas	1949
2021	Ma Rainey's Black Bottom	Academy Award for Best Costume Design	George C. Wolfe	1954
2021	Ma Rainey's Black Bottom	Academy Award for Best Makeup and Hairstyling	George C. Wolfe	1954
2022	The Power of the Dog	Academy Award for Best Director	Jane Campion	1954
2022	West Side Story	Academy Award for Best Supporting Actress	Steven Spielberg	1946
2023	Avatar: The Way of Water	Academy Award for Best Visual Effects	James Cameron	1954
2023	Guillermo del Toro's Pinocchio	Academy Award for Best Animated Feature	Mark Gustafson	1959
2023	Welcome to Chechnya	Academy Award of Commendation	David France	1959
2024	The Boy and the Heron	Academy Award for Best Animated Feature	Hayao Miyazaki	1941
2024	War is Over! Inspired by the Music of John and Yoko	Academy Award for Best Animated Short Film	Dave Mullins	1950
2025	Emilia Pérez	Academy Award for Best Supporting Actress	Jacques Audiard	1952
2025	I'm Still Here	Academy Award for Best International Feature Film	Walter Salles	1956
2026	Avatar: Fire and Ash	Academy Award for Best Visual Effects	James Cameron	1954
