Ceremony Year	Film	Director	Director Birth Year	Awards Won
2010	The Blind Side	John Lee Hancock	1956	1
2010	The Cove	Louie Psihoyos	1957	1
2010	The Hurt Locker	Kathryn Bigelow	1951	6
2010	The Secret in Their Eyes	Juan J. Campanella	1959	1
2011	Alice in Wonderland	Tim Burton	1958	2
2011	Inside Job	Charles Ferguson	1955	1
2011	Strangers No More	Karen Goodman; Kirk Simon	1950; 1954	1
2011	The Fighter	David O. Russell	1958	2
2011	The Wolfman	Joe Johnston	1950	1
2012	Hugo	Martin Scorsese	1942	5
2012	Midnight in Paris	Woody Allen	1935	1
2012	Saving Face	Daniel Junge	1950	1
2012	The Fantastic Flying Books of Mr. Morris Lessmore	William Joyce	1957	1
2012	The Iron Lady	Phyllida Lloyd	1957	2
2012	The Shore	Terry George	1952	1
2012	Undefeated	Daniel Lindsay	1950	1
2013	Amour	Michael Haneke	1942	1
2013	Life of Pi	Ang Lee	1954	4
2013	Lincoln	Steven Spielberg	1946	2
2013	Silver Linings Playbook	David O. Russell	1958	1
2013	Zero Dark Thirty	Kathryn Bigelow	1951	1
2014	Blue Jasmine	Woody Allen	1935	1
2015	American Sniper	Clint Eastwood	1930	1
2015	Ida	Paweł Pawlikowski	1957	1
2015	Still Alice	Richard Glatzer	1952	1
2016	Bridge of Spies	Steven Spielberg	1946	1
2016	Inside Out	Ronnie del Carmen	1959	1
2016	Mad Max: Fury Road	George Miller	1945	6
2017	Fences	Q42101	1954	1
2017	Hacksaw Ridge	Mel Gibson	1956	2
2018	Dear Basketball	Glen Keane	1954	1
2018	Heaven Is a Traffic Jam on the 405	Frank Stiefel	1950	1
2019	BlacKkKlansman	Spike Lee	1957	1
2019	Green Book	Peter Farrelly	1956	3
2020	American Factory	Julia Reichert	1946	1
2020	Bombshell	Jay Roach	1957	1
2020	Learning to Skateboard in a Warzone (If You're a Girl)	John Haptas	1949	1
2021	Ma Rainey's Black Bottom	George C. Wolfe	1954	2
2022	The Power of the Dog	Jane Campion	1954	1
2022	West Side Story	Steven Spielberg	1946	1
2023	Avatar: The Way of Water	James Cameron	1954	1
2023	Guillermo del Toro's Pinocchio	Mark Gustafson	1959	1
2023	Welcome to Chechnya	David France	1959	1
2024	The Boy and the Heron	Hayao Miyazaki	1941	1
2024	War is Over! Inspired by the Music of John and Yoko	Dave Mullins	1950	1
2025	Emilia Pérez	Jacques Audiard	1952	1
2025	I'm Still Here	Walter Salles	1956	1
2026	Avatar: Fire and Ash	James Cameron	1954	1
